env_size,epsilon,decay,gamma,alpha,experiment_mean_rewards,experiment_max_rewards,experiment_mean_turns_elapsed,experiment_min_turns_elapsed
10,0.8,0.8,0.7,0.01,"[-1075.08, -322.3, -166.07, -201.84, -163.66, -89.38, 4.42, 20.41, -5.63, -37.15, -17.18]",20.41,"[253.85, 99.09, 64.16, 76.18, 70.3, 52.96, 25.79, 21.81, 28.35, 39.02, 33.57]",21.81
10,0.8,0.8,0.7,0.02,"[-503.47, -58.6, -41.6, 30.54, 48.56, 48.84, 48.5, 38.38, 41.39, 48.89, 53.58]",53.58,"[136.19, 39.62, 35.35, 19.93, 15.11, 15.07, 15.15, 17.62, 16.99, 14.85, 14.07]",14.07
10,0.8,0.8,0.7,0.03,"[-461.14, -95.66, -283.49, -91.39, 31.81, 34.41, 15.05, 7.18, 20.58, 36.7, -13.53]",36.7,"[129.16, 50.17, 110.95, 54.96, 19.67, 18.85, 23.83, 26.58, 22.77, 18.72, 32.73]",18.72
10,0.8,0.7,0.9,0.01,"[-1507.71, -715.99, -437.34, -359.59, -177.65, -224.12, -172.61, -91.2, -29.37, -93.06, -73.59]",-29.37,"[343.91, 176.78, 118.51, 105.04, 66.21, 78.23, 67.33, 46.93, 33.46, 49.94, 43.84]",33.46
10,0.8,0.7,0.9,0.02,"[-595.55, -121.93, -35.66, -3.73, 9.85, 23.74, 31.89, 35.55, 33.96, 29.31, 32.14]",35.55,"[148.79, 48.21, 31.81, 24.83, 22.29, 20.14, 18.9, 18.23, 18.92, 19.71, 19.2]",18.23
10,0.8,0.7,0.9,0.03,"[-537.24, -141.08, -60.2, 11.97, 22.55, 29.08, 33.63, 29.84, 32.3, 30.68, 28.58]",33.63,"[138.65, 57.16, 38.86, 23.4, 21.19, 19.79, 19.48, 19.8, 19.64, 19.63, 19.97]",19.48
10,0.8,0.7,0.8,0.01,"[-575.47, -127.63, -44.26, 1.7, 28.16, 22.95, 41.84, 38.51, 44.48, 51.47, 48.64]",51.47,"[146.61, 50.73, 32.62, 23.95, 18.92, 19.35, 16.58, 17.26, 15.79, 14.51, 14.91]",14.51
10,0.8,0.7,0.8,0.02,"[-529.22, -79.19, -22.94, 9.79, 22.49, 18.44, 30.76, 32.7, 27.68, 27.63, 21.84]",32.7,"[135.91, 43.09, 30.78, 23.39, 21.0, 21.4, 19.33, 18.89, 19.7, 19.73, 20.95]",18.89
10,0.8,0.7,0.8,0.03,"[-756.98, -143.71, -4.09, -18.79, 21.2, 27.05, 26.32, 24.9, 25.56, 27.68, 31.88]",31.88,"[194.95, 62.0, 28.07, 31.75, 21.86, 20.55, 20.64, 21.02, 21.17, 20.22, 19.31]",19.31
10,0.8,0.7,0.7,0.01,"[-665.62, -132.68, -49.49, 32.7, 37.14, 34.96, 32.52, 40.83, 41.81, 45.09, 43.54]",45.09,"[167.12, 54.65, 38.19, 17.94, 17.61, 17.69, 18.29, 16.2, 16.2, 15.71, 16.18]",15.71
10,0.8,0.7,0.7,0.02,"[-666.77, -90.56, -22.14, 35.17, 15.04, 22.55, 51.18, 50.21, 49.65, 44.37, 53.37]",53.37,"[177.64, 50.32, 34.34, 18.74, 24.3, 22.58, 14.71, 14.61, 15.02, 16.44, 13.94]",13.94
10,0.8,0.7,0.7,0.03,"[-469.56, -197.66, 37.92, 41.38, 39.42, 32.52, 39.66, -28.98, 37.95, 42.86, 38.11]",42.86,"[127.45, 76.03, 17.32, 16.34, 16.9, 18.04, 16.76, 35.2, 17.28, 16.31, 17.61]",16.31
15,0.6,0.9,0.9,0.01,"[-4372.3, -2143.34, -1372.85, -865.65, -771.22, -153.06, -339.82, -88.22, -343.85, -0.46, -56.36]",-0.46,"[1006.76, 536.94, 371.72, 260.41, 241.26, 93.08, 141.29, 82.5, 145.17, 61.11, 76.9]",61.11
15,0.6,0.9,0.9,0.02,"[-2802.52, -819.51, -431.36, -215.86, 28.73, 51.67, 100.5, 106.83, 104.61, 102.46, 109.79]",109.79,"[667.67, 239.17, 158.06, 109.48, 50.0, 44.25, 34.57, 33.53, 33.78, 34.4, 32.76]",32.76
15,0.6,0.9,0.9,0.03,"[-2726.3, -871.47, -391.97, -46.78, -8.66, 4.33, 80.33, 100.02, 100.04, 92.04, 98.46]",100.04,"[657.02, 262.11, 159.52, 70.49, 61.76, 59.77, 39.47, 34.64, 34.22, 36.68, 34.68]",34.22
15,0.6,0.9,0.8,0.01,"[-3804.8, -1855.89, -1042.64, -682.5, -3489.77, -113.22, -453.92, 64.43, -12751.76, -1314.35, -1295.21]",64.43,"[902.33, 497.72, 318.16, 238.38, 1075.43, 90.83, 190.84, 45.81, 3772.15, 414.71, 438.23]",45.81
15,0.6,0.9,0.8,0.02,"[-3104.07, -3451.96, -1098.14, -642.81, -1344.35, -2095.07, -584.65, -3342.32, -8.74, -220.41, -243.97]",-8.74,"[760.38, 1023.46, 381.85, 255.61, 465.3, 689.26, 239.53, 1060.21, 68.07, 131.58, 137.2]",68.07
15,0.6,0.9,0.8,0.03,"[-2107.21, -1069.15, -2922.09, -115.04, -13.44, -286.64, -37.78, 32.81, -91.88, -1.19, -46.82]",32.81,"[531.62, 351.19, 902.81, 92.97, 67.07, 143.91, 76.21, 53.92, 89.1, 64.79, 76.21]",53.92
